name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Rod of Alertness,Wondrous Item,Very Rare,1,requires attunement,"This rod has a flanged head and the following properties.

Alertness: While holding the rod, you have advantage on Wisdom (Perception) checks and on rolls for initiative.

Spells: While holding the rod, you can use an action to cast one of the following spells from it:

Detect evil and good, detect magic, detect poison and disease, or see invisibility.
<br /Protective Aura: As an action, you can plant the haft end of the rod in the ground, whereupon the rod's head sheds bright light in a 60-foot radius and dim light for an additional 60 feet. While in that bright light, you and any creature that is friendly to you gain a +1 bonus to AC and saving throws and can sense the location of any invisible hostile creature that is also in the bright light. The rod's head stops glowing and the effect ends after 10 minutes, or when a creature uses an action to pull the rod from the ground. This property can't be used again until the next dawn.",,,,wondrous item;magic-item
Rod of Lordly Might,Wondrous Item,Legendary,1,requires attunement,"This rod has a flanged head, and it functions as a magic mace that grants a +3 bonus to attack and damage rolls made with it. The rod has properties associated with six different buttons that are set in a row along the haft. It has three other properties as well, detailed below.
 Six Buttons. You can press one of the rod's six buttons as a bonus action. A button's effect lasts until you push a different button or until you push the same button again, which causes the rod to revert to its normal form.
 If you press button 1, the rod becomes a flame tongue, as a fiery blade sprouts from the end opposite the rod's flanged head.
 If you press button 2, the rod's flanged head folds down and two crescent-shaped blades spring out, transforming the rod into a magic battleaxe that grants a +3 bonus to attack and damage rolls made with it.
 If you press button 3, the rod's flanged head folds down, a spear point springs from the rod's tip, and the rod's handle lengthens into a 6-foot haft, transforming the rod into a magic spear that grants a +3 bonus to attack and damage rolls made with it.
 If you press button 4, the rod transforms into a climbing pole up to 50 feet long, as you specify. In surfaces as hard as granite, a spike at the bottom and three hooks at the top anchor the pole. Horizontal bars 3 inches long fold out from the sides, 1 foot apart, forming a ladder. The pole can bear up to 4,000 pounds. More weight or lack of solid anchoring causes the rod to revert to its normal form.
 If you press button 5, the rod transforms into a handheld battering ram and grants its user a +10 bonus to Strength checks made to break through doors, barricades, and other barriers.
 If you press button 6, the rod assumes or remains in its normal form and indicates magnetic north. (Nothing happens if this function of the rod is used in a location that has no magnetic north.) The rod also gives you knowledge of your approximate depth beneath the ground or your height above it.
 Drain Life. When you hit a creature with a melee attack using the rod, you can force the target to make a DC 17 Constitution saving throw. On a failure, the target takes an extra 4d6 necrotic damage, and you regain a number of hit points equal to half that necrotic damage. This property can't be used again until the next dawn.
 Paralyze. When you hit a creature with a melee attack using the rod, you can force the target to make a DC 17 Strength saving throw. On a failure, the target is paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on a success. This property can't be used again until the next dawn.
 Terrify. While holding the rod, you can use an action to force each creature you can see within 30 feet of you to make a DC 17 Wisdom saving throw. On a failure, a target is frightened of you for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. This property can't be used again until the next dawn.",,,,wondrous item;magic-item
Rod of Rulership,Wondrous Item,Rare,1,requires attunement,"You can use an action to present the rod and command obedience from each creature of your choice that you can see within 120 feet of you. Each target must succeed on a DC 15 Wisdom saving throw or be charmed by you for 8 hours. While charmed in this way, the creature regards you as its trusted leader. If harmed by you or your companions, or commanded to do something contrary to its nature, a target ceases to be charmed in this way. The rod can't be used again until the next dawn.",,,,wondrous item;magic-item
Rod of Security,Wondrous Item,Very Rare,0,,"While holding this rod, you can use an action to activate it. The rod then instantly transports you and up to 199 other willing creatures you can see to a paradise that exists in an extraplanar space. You choose the form that the paradise takes. It could be a tranquil garden, lovely glade, cheery tavern, immense palace, tropical island, fantastic carnival, or whatever else you can imagine. Regardless of its nature, the paradise contains enough water and food to sustain its visitors. Everything else that can be interacted with inside the extraplanar space can exist only there. For example, a flower picked from a garden in the paradise disappears if it is taken outside the extraplanar space. For each hour spent in the paradise, a visitor regains hit points as if it had spent 1 Hit Die. Also, creatures don't age while in the paradise, although time passes normally. Visitors can remain in the paradise for up to 200 days divided by the number of creatures present (round down). When the time runs out or you use an action to end it, all visitors reappear in the location they occupied when you activated the rod, or an unoccupied space nearest that location. The rod can't be used again until ten days have passed.",,,,wondrous item;magic-item
Rope of Climbing,Wondrous Item,Uncommon,0,,"This 60-foot length of silk rope weighs 3 pounds and can hold up to 3,000 pounds. If you hold one end of the rope and use an action to speak the command word, the rope animates. As a bonus action, you can command the other end to move toward a destination you choose. That end moves 10 feet on your turn when you first command it and 10 feet on each of your turns until reaching its destination, up to its maximum length away, or until you tell it to stop. You can also tell the rope to fasten itself securely to an object or to unfasten itself, to knot or unknot itself, or to coil itself for carrying. If you tell the rope to knot, large knots appear at 1-foot intervals along the rope. While knotted, the rope shortens to a 50-foot length and grants advantage on checks made to climb it. The rope has AC 20 and 20 hit points. It regains 1 hit point every 5 minutes as long as it has at least 1 hit point. If the rope drops to 0 hit points, it is destroyed.",,,,wondrous item;magic-item
Rope of Entanglement,Wondrous Item,Rare,0,,"This rope is 30 feet long and weighs 3 pounds. If you hold one end of the rope and use an action to speak its command word, the other end darts forward to entangle a creature you can see within 20 feet of you. The target must succeed on a DC 15 Dexterity saving throw or become restrained.",,,,wondrous item;magic-item
"Rope, Hempen (50 feet)",Adventuring Gear,Common,0,,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.",,,,adventuring gear;magic-item
"Rope, Silk (50 feet)",Adventuring Gear,Common,0,,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.",,,,adventuring gear;magic-item
Sack,Adventuring Gear,Common,0,,Capacity: 1 cubic foot/30 pounds of gear,,,,adventuring gear;magic-item
Saw,Other,Common,0,,A simple one-hand saw,,,,other;magic-item
Scale mail,Armor,Common,0,,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.",,,,armor;magic-item
"Scale, Merchant's",Adventuring Gear,Common,0,,"A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth.",,,,adventuring gear;magic-item
Scarab of Protection,Wondrous Item,Legendary,1,requires attunement,"If you hold this beetle-shaped medallion in your hand for 1 round, an inscription appears on its surface revealing its magical nature. It provides two benefits while it is on your person:You have advantage on saving throws against spells.
The scarab has 12 charges. If you fail a saving throw against a necromancy spell or a harmful effect originating from an undead creature, you can use your reaction to expend 1 charge and turn the failed save into a successful one. The scarab crumbles into powder and is destroyed when its last charge is expended.",,12,,wondrous item;magic-item
Scimitar,Martial Melee,Common,0,,"**Damage:** 1d6  
**Properties:** finesse, light  
**Cost:** 25 gp",,,,martial melee;weapon
Scimitar of Speed,Martial Melee,Rare,1,,"**Damage:** 1d6 slashing  
**Cost:** 6000 gp","You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, you can make one attack with it as a bonus action on each of your turns. Requires attunement.",,,martial melee;weapon
Scroll Case,Other,Common,0,,,,,,other;magic-item
Sealing Wax,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Serpent Venom,Poison,Uncommon,0,,"This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.",,,,poison;magic-item
Serpentine Owl,Wondrous Item,Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This serpentine statuette of an owl can become a giant owl for up to 8 hours. Once it has been used, it can't be used again until 2 days have passed. The owl can telepathically communicate with you at any range if you and it are on the same plane of existence.",,,,wondrous item;magic-item
Shawm,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Shield,Armor,Common,0,,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.,,,,armor;magic-item
Shield of Missile Attraction,Armor,Rare,1,requires attunement,"While holding this shield, you have resistance to damage from ranged weapon attacks.",,,,armor;magic-item
Shortbow,Simple Ranged,Common,0,,"**Damage:** 1d6  
**Properties:** ammunition (range 80/320), two-handed  
**Cost:** 25 gp",,,,simple ranged;weapon
Shortsword,Martial Melee,Common,0,,"**Damage:** 1d6  
**Properties:** finesse, light  
**Cost:** 10 gp",,,,martial melee;weapon
Shortsword of Life-Stealing,Martial Melee,Uncommon,1,,"**Damage:** 1d6  
**Properties:** finesse, light  
**Cost:** 1000 gp","When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 3d6 necrotic damage, provided that the target isn't a construct or an undead. You gain temporary hit points equal to the extra damage dealt. Requires attunement.",,,martial melee;weapon
Shovel,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Sickle,Simple Melee,Common,0,,"**Damage:** 1d4  
**Properties:** light  
**Cost:** 1 gp",,,,simple melee;weapon
Signal Whistle,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Signet Ring,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Silk Handkerchief,Other,Common,0,,This silk handkerchief is embroidered with a pale pink pattern.,,,,other;magic-item
Silver Ewer,Other,Common,0,,A large jug with a wide mouth coated in silver.,,,,other;magic-item
Silver Raven,Wondrous Item,Uncommon,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This silver statuette of a raven can become a raven for up to 12 hours. Once it has been used, it can't be used again until 2 days have passed. While in raven form, the figurine allows you to cast the animal messenger spell on it at will.",,,,wondrous item;magic-item
Silver-tipped Quill,Other,Common,0,,A silver-tipped quill with an elaborate white feather.,,,,other;magic-item
Sling,Simple Ranged,Common,0,,"**Damage:** 1d4  
**Properties:** ammunition (range 30/120)  
**Cost:** 0.1 gp",,,,simple ranged;weapon
Sling Bullets (20),Martial Melee,Common,0,,**Cost:** 0.0 gp,,,,martial melee;weapon
Slippers of Spider Climbing,Wondrous Item,Uncommon,1,requires attunement,"While you wear these light shoes, you can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free. You have a climbing speed equal to your walking speed. However, the slippers don't allow you to move this way on a slippery surface, such as one covered by ice or oil.",,,,wondrous item;magic-item
Smith's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Smooth Pebbles,Other,Common,0,,"Some ordinary, smooth pebbles.",,,,other;magic-item
Soap,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Soup Ladel,Other,Common,0,,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.",,,,other;magic-item
Sovereign Glue,Wondrous Item,Legendary,0,,"This viscous, milky-white substance can form a permanent adhesive bond between any two objects. It must be stored in a jar or flask that has been coated inside with oil of slipperiness. When found, a container contains 1d6 + 1 ounces. One ounce of the glue can cover a 1-foot square surface. The glue takes 1 minute to set. Once it has done so, the bond it creates can be broken only by the application of universal solvent or oil of etherealness, or with a wish spell.",,,,wondrous item;magic-item
Spear,Simple Melee,Common,0,,"**Damage:** 1d6  
**Properties:** thrown (range 20/60), versatile (1d8)  
**Cost:** 1 gp",,,,simple melee;weapon
Spellbook,Adventuring Gear,Common,0,,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.",,,,adventuring gear;magic-item
Spellguard Shield,Armor,Very Rare,1,requires attunement,"While holding this shield, you have advantage on saving throws against spells and other magical effects, and spell attacks have disadvantage against you.",,,,armor;magic-item
Sphere of Annihilation,Wondrous Item,Legendary,0,,"This 2-foot-diameter black sphere is a hole in the multiverse, hovering in space and stabilized by a magical field surrounding it.
 The sphere obliterates all matter it passes through and all matter that passes through it. Artifacts are the exception. Unless an artifact is susceptible to damage from a sphere of annihilation, it passes through the sphere unscathed. Anything else that touches the sphere but isn't wholly engulfed and obliterated by it takes 4d10 force damage.
 The sphere is stationary until someone controls it. If you are within 60 feet of an uncontrolled sphere, you can use an action to make a DC 25 Intelligence (Arcana) check. On a success, the sphere levitates in one direction of your choice, up to a number of feet equal to 5 × your Intelligence modifier (minimum 5 feet). On a failure, the sphere moves 10 feet toward you. A creature whose space the sphere enters must succeed on a DC 13 Dexterity saving throw or be touched by it, taking 4d10 force damage.
 If you attempt to control a sphere that is under another creature's control, you make an Intelligence (Arcana) check contested by the other creature's Intelligence (Arcana) check. The winner of the contest gains control of the sphere and can levitate it as normal.
 If the sphere comes into contact with a planar portal, such as that created by the gate spell, or an extradimensional space, such as that within a portable hole, the GM determines randomly what happens, using the following table.    d100 Result 
    01-50 The sphere is destroyed. 
  51-85 The sphere moves through the portal or into the extradimensional space. 
  86-00 A spatial rift sends each creature and object within 180 feet of the sphere, including the sphere, to a random plane of existence.",,,,wondrous item;magic-item
"Spikes, Iron (10)",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Splint,Armor,Uncommon,0,,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.,,,,armor;magic-item
Spyglass,Adventuring Gear,Rare,0,,Objects viewed through a spyglass are magnified to twice their size.,,,,adventuring gear;magic-item
Staff of Charming,Wondrous Item,Rare,1,requires attunement by a bard,"While holding this staff, you can use an action to expend 1 of its 10 charges to cast charm person, command, or comprehend languages from it using your spell save DC. The staff can also be used as a magic quarterstaff.",,,,wondrous item;magic-item
Staff of Fire,Wondrous Item,Very Rare,1,requires attunement by a druid,"You have resistance to fire damage while you hold this staff.
The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: burning hands (1 charge), fireball (3 charges), or wall of fire (4 charges).
The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff blackens, crumbles into cinders, and is destroyed.",,10,,wondrous item;magic-item
Staff of Frost,Wondrous Item,Very Rare,1,requires attunement by a druid,"You have resistance to cold damage while you hold this staff. The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: cone of cold (5 charges), fog cloud (1 charge), ice storm (4 charges), or wall of ice (4 charges).
The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns to water and is destroyed.",,10,,wondrous item;magic-item
Staff of Healing,Wondrous Item,Rare,1,requires attunement by a bard,"This staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability modifier: cure wounds (1 charge per spell level, up to 4th), lesser restoration (2 charges), or mass cure wounds (5 charges).",,10,,wondrous item;magic-item
Staff of Power,Wondrous Item,Very Rare,1,requires attunement by a sorcerer,"This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you gain a +2 bonus to Armor Class, saving throws, and spell attack rolls.  
 The staff has 20 charges for the following properties. The staff regains 2d8 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff retains its +2 bonus to attack and damage rolls but loses all other properties. On a 20, the staff regains 1d8 + 2 charges.  
 Power Strike. When you hit with a melee attack using the staff, you can expend 1 charge to deal an extra 1d6 force damage to the target.  
 Spells. While holding this staff, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spell attack bonus: cone of cold (5 charges), fireball (5th-level version, 5 charges), globe of invulnerability (6 charges), hold monster (5 charges), levitate (2 charges), lightning bolt (5th-level version, 5 charges), magic missile (1 charge), ray of enfeeblement (1 charge), or wall of force (5 charges).  
 Retributive Strike. You can use an action to break the staff over your knee or against a solid surface, performing a retributive strike. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it.  
 You have a 50 percent chance to instantly travel to a random plane of existence, avoiding the explosion. If you fail to avoid the effect, you take force damage equal to 16 × the number of charges in the staff. Every other creature in the area must make a DC 17 Dexterity saving throw. On a failed save, a creature takes an amount of damage based on how far away it is from the point of origin, as shown in the following table. On a successful save, a creature takes half as much damage.    Distance from Origin Damage 
    10 ft. away or closer 8 x the number of charges in the staff 
  11 to 20 ft. away 6 x the number of charges in the staff 
  21 to 30 ft. away 4 x the number of charges in the staff",,20,,wondrous item;magic-item
Staff of Striking,Wondrous Item,Very Rare,1,requires attunement,"This staff can be wielded as a magic quarterstaff that grants a +3 bonus to attack and damage rolls made with it. The staff has 10 charges. When you hit with a melee attack using it, you can expend up to 3 of its charges. For each charge you expend, the target takes an extra 1d6 force damage. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff.",,10,,wondrous item;magic-item
Staff of Swarming Insects,Wondrous Item,Rare,1,requires attunement by a bard,"This staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, a swarm of insects consumes and destroys the staff, then disperses.
 Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC: giant insect (4 charges) or insect plague (5 charges).
 Insect Cloud. While holding the staff, you can use an action and expend 1 charge to cause a swarm of harmless flying insects to spread out in a 30-foot radius from you. The insects remain for 10 minutes, making the area heavily obscured for creatures other than you. The swarm moves with you, remaining centered on you. A wind of at least 10 miles per hour disperses the swarm and ends the effect.",,10,,wondrous item;magic-item
Staff of Thunder and Lightning,Wondrous Item,Very Rare,1,requires attunement,"This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. It also has the following additional properties. When one of these properties is used, it can't be used again until the next dawn.
 Lightning: When you hit with a melee attack using the staff, you can cause the target to take an extra 2d6 lightning damage.
 Thunder: When you hit with a melee attack using the staff, you can cause the staff to emit a crack of thunder, audible out to 300 feet. The target you hit must succeed on a DC 17 Constitution saving throw or become stunned until the end of your next turn.
 Lightning Strike: You can use an action to cause a bolt of lightning to leap from the staff's tip in a line that is 5 feet wide and 120 feet long. Each creature in that line must make a DC 17 Dexterity saving throw, taking 9d6 lightning damage on a failed save, or half as much damage on a successful one.
 Thunderclap: You can use an action to cause the staff to issue a deafening thunderclap, audible out to 600 feet. Each creature within 60 feet of you (not including you) must make a DC 17 Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 1 minute. On a successful save, a creature takes half damage and isn't deafened.
 Thunder and Lightning: You can use an action to use the Lightning Strike and Thunderclap properties at the same time. Doing so doesn't expend the daily use of those properties, only the use of this one.",,,,wondrous item;magic-item
Staff of Withering,Wondrous Item,Rare,1,requires attunement by a cleric,"This staff has 3 charges and regains 1d3 expended charges daily at dawn.
The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to deal an extra 2d10 necrotic damage to the target. In addition, the target must succeed on a DC 15 Constitution saving throw or have disadvantage for 1 hour on any ability check or saving throw that uses Strength or Constitution.",,3,,wondrous item;magic-item
Staff of the Python,Wondrous Item,Uncommon,1,requires attunement by a cleric,"You can use an action to speak this staff's command word and throw the staff on the ground within 10 feet of you. The staff becomes a giant constrictor snake under your control and acts on its own initiative count. By using a bonus action to speak the command word again, you return the staff to its normal form in a space formerly occupied by the snake. On your turn, you can mentally command the snake if it is within 60 feet of you and you aren't incapacitated. You decide what action the snake takes and where it moves during its next turn, or you can issue it a general command, such as to attack your enemies or guard a location. If the snake is reduced to 0 hit points, it dies and reverts to its staff form. The staff then shatters and is destroyed. If the snake reverts to staff form before losing all its hit points, it regains all of them.",,,,wondrous item;magic-item
Staff of the Woodlands,Wondrous Item,Rare,1,requires attunement by a druid,"This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you have a +2 bonus to spell attack rolls.
 The staff has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff loses its properties and becomes a nonmagical quarterstaff.
 Spells. You can use an action to expend 1 or more of the staff's charges to cast one of the following spells from it, using your spell save DC: animal friendship (1 charge), awaken (5 charges), barkskin (2 charges), locate animals or plants (2 charges), speak with animals (1 charge), speak with plants (3 charges), or wall of thorns (6 charges).
 You can also use an action to cast the pass without trace spell from the staff without using any charges.
 Tree Form. You can use an action to plant one end of the staff in fertile earth and expend 1 charge to transform the staff into a healthy tree. The tree is 60 feet tall and has a 5-foot-diameter trunk, and its branches at the top spread out in a 20-foot radius. The tree appears ordinary but radiates a faint aura of transmutation magic if targeted by detect magic. While touching the tree and using another action to speak its command word, you return the staff to its normal form. Any creature in the tree falls when it reverts to a staff.",,10,,wondrous item;magic-item
Stone of Controlling Earth Elementals,Wondrous Item,Rare,0,,"If the stone is touching the ground, you can use an action to speak its command word and summon an earth elemental, as if you had cast the conjure elemental spell. The stone can't be used this way again until the next dawn. The stone weighs 5 pounds.",,,,wondrous item;magic-item
Studded Leather,Armor,Common,0,,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes",,,,armor;magic-item
Studded Leather of Resistance,Armor,Rare,1,requires attunement,"You have resistance to one type of damage while you wear this armor. The GM chooses the type or determines it randomly from the options below.d10Damage Type
1Acid
2Cold
3Fire
4Force
5Lightning
6Necrotic
7Poison
8Psychic
9Radiant
10Thunder",,,,armor;magic-item
Sun Blade,Martial Melee,Rare,1,,**Cost:** 12000 gp,"This item appears to be a longsword hilt. While grasping the hilt, you can use a bonus action to cause a blade of pure radiance to spring into existence, or make the blade disappear. While the blade exists, this magic longsword has the finesse property. If you are proficient with shortswords or longswords, you are proficient with the sun blade. You gain a +2 bonus to attack and damage rolls made with this weapon, which deals radiant damage instead of slashing damage. When you hit an undead with it, that target takes an extra 1d8 radiant damage. The sword's luminous blade emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. While the blade persists, you can use an action to expand or reduce its radius of bright and dim light by 5 feet each, to a maximum of 30 feet each or a minimum of 10 feet each. Requires attunement.",,,martial melee;weapon
Talisman of Pure Good,Wondrous Item,Legendary,1,requires attunement by a creature of good alignment,"This talisman is a mighty symbol of goodness. A creature that is neither good nor evil in alignment takes 6d6 radiant damage upon touching the talisman. An evil creature takes 8d6 radiant damage upon touching the talisman. Either sort of creature takes the damage again each time it ends its turn holding or carrying the talisman. If you are a good cleric or paladin, you can use the talisman as a holy symbol, and you gain a +2 bonus to spell attack rolls while you wear or hold it. The talisman has 7 charges. If you are wearing or holding it, you can use an action to expend 1 charge from it and choose one creature you can see on the ground within 120 feet of you. If the target is of evil alignment, a flaming fissure opens under it. The target must succeed on a DC 20 Dexterity saving throw or fall into the fissure and be destroyed, leaving no remains. The fissure then closes, leaving no trace of its existence. When you expend the last charge, the talisman disperses into motes of golden light and is destroyed.",,7,,wondrous item;magic-item
Talisman of Ultimate Evil,Wondrous Item,Legendary,1,requires attunement by a creature of evil alignment,"This item symbolizes unrepentant evil. A creature that is neither good nor evil in alignment takes 6d6 necrotic damage upon touching the talisman. A good creature takes 8d6 necrotic damage upon touching the talisman. Either sort of creature takes the damage again each time it ends its turn holding or carrying the talisman. If you are an evil cleric or paladin, you can use the talisman as a holy symbol, and you gain a +2 bonus to spell attack rolls while you wear or hold it. The talisman has 6 charges. If you are wearing or holding it, you can use an action to expend 1 charge from the talisman and choose one creature you can see on the ground within 120 feet of you. If the target is of good alignment, a flaming fissure opens under it. The target must succeed on a DC 20 Dexterity saving throw or fall into the fissure and be destroyed, leaving no remains. The fissure then closes, leaving no trace of its existence. When you expend the last charge, the talisman dissolves into foul-smelling slime and is destroyed.",,6,,wondrous item;magic-item
Talisman of the Sphere,Wondrous Item,Legendary,1,requires attunement,"When you make an Intelligence (Arcana) check to control a sphere of annihilation while you are holding this talisman, you double your proficiency bonus on the check. In addition, when you start your turn with control over a sphere of annihilation, you can use an action to levitate it 10 feet plus a number of additional feet equal to 10 × your Intelligence modifier.",,,,wondrous item;magic-item
Tankard,Adventuring Gear,Common,0,,Capacity: 1 pint liquid,,,,adventuring gear;magic-item
"Tent, two-person",Adventuring Gear,Common,0,,A simple and portable canvas shelter suitable for 2 persons,,,,adventuring gear;magic-item
Thieves' Tools,Tool,Common,0,,"This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.",,,,tool;magic-item
Tin Cup,Other,Common,0,,A tin drinking cup.,,,,other;magic-item
Tinderbox,Adventuring Gear,Common,0,,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch–or anything else with abundant, exposed fuel–takes an action. Lighting any other fire takes 1 minute.",,,,adventuring gear;magic-item
Tinker's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Tobacco,Other,Common,0,,A small amount of tobacco wrapped in a large soft leaf.,,,,other;magic-item
Torch,Adventuring Gear,Common,0,,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage.",,,,adventuring gear;magic-item
Torpor,Poison,Rare,0,,A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 4d6 hours. The poisoned creature is incapacitated.,,,,poison;magic-item
Trident,Martial Melee,Common,0,,"**Damage:** 1d7  
**Properties:** thrown (range 20/60), versatile (1d8)  
**Cost:** 5 gp",,,,martial melee;weapon
Trident of Fish Command,Martial Melee,Uncommon,1,,"**Damage:** 1d7  
**Properties:** thrown (range 20/60), versatile (1d8)  
**Cost:** 800 gp","This trident is a magic weapon. It has 3 charges. While you carry it, you can use an action and expend 1 charge to cast dominate beast (save DC 15) from it. on a beast that has an innate swimming speed. The trident regains 1d3 expended charges daily at dawn. Requires attunement.",3,,martial melee;weapon
Truth Serum,Poison,Uncommon,0,,"A creature subjected to this poison must succeed on a DC 11 Constitution saving throw or become poisoned for 1 hour. The poisoned creature can’t knowingly speak a lie, as if under the effect of a zone of truth spell.",,,,poison;magic-item
Universal Solvent,Wondrous Item,Legendary,0,,"This tube holds milky liquid with a strong alcohol smell. You can use an action to pour the contents of the tube onto a surface within reach. The liquid instantly dissolves up to 1 square foot of adhesive it touches, including sovereign glue.",,,,wondrous item;magic-item
Unreadable Note,Other,Common,0,,A paper note that's been left on a damp floor. It's completely illegible.,,,,other;magic-item
Vial,Adventuring Gear,Common,0,,Capacity: 4 ounces of liquid,,,,adventuring gear;magic-item
Vicious Battleaxe,Martial Melee,Uncommon,0,,"**Damage:** 1d8  
**Properties:** versatile (1d10)  
**Cost:** 350 gp","When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 2d6 damage of the weapon's type.",,,martial melee;weapon
Vicious Club,Simple Melee,Uncommon,0,,"**Damage:** 1d4  
**Properties:** light  
**Cost:** 350 gp","When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 2d6 damage of the weapon's type.",,,simple melee;weapon
Vicious Dagger,Simple Melee,Uncommon,0,,"**Damage:** 1d4  
**Properties:** finesse, light, thrown (range 20/60)  
**Cost:** 350 gp","When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 2d6 damage of the weapon's type.",,,simple melee;weapon
